t,x0,x1, 
2.58906,0.968516,-1.93598,
2.59063,0.965487,-1.9403,
2.59219,0.962452,-1.94459,
2.59375,0.95941,-1.94888,
2.59531,0.956362,-1.95315,
2.59688,0.953307,-1.95741,
2.59844,0.950245,-1.96166,
2.6,0.947177,-1.96589,
2.60156,0.944102,-1.97011,
2.60313,0.94102,-1.97431,
2.60469,0.937932,-1.9785,
2.60625,0.934837,-1.98268,
2.60781,0.931736,-1.98684,
2.60938,0.928628,-1.99098,
2.61094,0.925514,-1.99511,
2.6125,0.922394,-1.99923,
2.61406,0.919267,-2.00333,
2.61563,0.916133,-2.00741,
2.61719,0.912994,-2.01148,
2.61875,0.909847,-2.01553,
2.62031,0.906695,-2.01956,
2.62188,0.903536,-2.02358,
2.62344,0.900371,-2.02758,
2.625,0.8972,-2.03157,
2.62656,0.894023,-2.03553,
2.62813,0.890839,-2.03948,
2.62969,0.887649,-2.04341,
2.63125,0.884453,-2.04733,
2.63281,0.881251,-2.05122,
2.63438,0.878043,-2.0551,
2.63594,0.874829,-2.05896,
2.6375,0.871609,-2.0628,
2.63906,0.868383,-2.06663,
2.64062,0.865151,-2.07043,
2.64219,0.861913,-2.07421,
2.64375,0.858669,-2.07798,
2.64531,0.855419,-2.08173,
2.64688,0.852164,-2.08545,
2.64844,0.848902,-2.08916,
2.65,0.845635,-2.09285,
2.65156,0.842362,-2.09651,
2.65313,0.839083,-2.10016,
2.65469,0.835799,-2.10378,
2.65625,0.832509,-2.10739,
2.65781,0.829214,-2.11097,
2.65938,0.825912,-2.11453,
2.66094,0.822606,-2.11808,
